group_sid,group_id,group_name,technique_id,technique_name,is_subtechnique
intrusion-set--e44e0985-bc65-4a8f-b578-211c858128e3,G0134,Transparent Tribe,T1566.002,Spearphishing Link,True
intrusion-set--b8137919-38cb-4db0-90f3-437be885faba,G1030,Agrius,T1005,Data from Local System,False
intrusion-set--247cb30b-955f-42eb-97a5-a89fef69341e,G0050,APT32,T1082,System Information Discovery,False
intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80,G0087,APT39,T1033,System Owner/User Discovery,False
intrusion-set--d8bc9788-4f7d-41a9-9e9d-ee1ea18a8cf7,G1004,LAPSUS$,T1090,Proxy,False
intrusion-set--f9d6633a-55e6-4adc-9263-6ae080421a13,G0059,Magic Hound,T1021.001,Remote Desktop Protocol,True
intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,G0006,APT1,T1560.001,Archive via Utility,True
intrusion-set--a7f57cc1-4540-4429-823f-f4e56b8473c9,G1003,Ember Bear,T1095,Non-Application Layer Protocol,False
intrusion-set--bf668120-e9a6-4017-a014-bfc0f5232656,G1026,Malteiro,T1055.001,Dynamic-link Library Injection,True
intrusion-set--dd2d9ca6-505b-4860-a604-233685b802c7,G0102,Wizard Spider,T1021.001,Remote Desktop Protocol,True
intrusion-set--dd2d9ca6-505b-4860-a604-233685b802c7,G0102,Wizard Spider,T1550.002,Pass the Hash,True
intrusion-set--c1aab4c9-4c34-4f4f-8541-d529e46a07f9,G1023,APT5,T1583.005,Botnet,True
intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f,G0045,menuPass,T1078,Valid Accounts,False
intrusion-set--56a05d27-4d47-418a-b330-781c5614f202,G1041,Sea Turtle,T1114.001,Local Email Collection,True
intrusion-set--7f848c02-4d1e-4808-a4ae-4670681370a9,G1002,BITTER,T1204.002,Malicious File,True
intrusion-set--56a05d27-4d47-418a-b330-781c5614f202,G1041,Sea Turtle,T1583.002,DNS Server,True
intrusion-set--90784c1e-4aba-40eb-9adf-7556235e6384,G0122,Silent Librarian,T1598.003,Spearphishing Link,True
intrusion-set--9b36c218-4d80-4ec6-a68d-cc2886bbe410,G1033,Star Blizzard,T1550.004,Web Session Cookie,True
intrusion-set--420ac20b-f2b9-42b8-aa1a-6d4b72895ca4,G0129,Mustang Panda,T1560.001,Archive via Utility,True
intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,G0016,APT29,T1078.004,Cloud Accounts,True
intrusion-set--56a05d27-4d47-418a-b330-781c5614f202,G1041,Sea Turtle,T1608.003,Install Digital Certificate,True
intrusion-set--a653431d-6a5e-4600-8ad3-609b5af57064,G0009,Deep Panda,T1505.003,Web Shell,True
intrusion-set--cc613a49-9bfa-4e22-98d1-15ffbb03f034,G1006,Earth Lusca,T1059.007,JavaScript,True
intrusion-set--44d37b89-a739-4810-9111-0d2617a8939b,G1015,Scattered Spider,T1538,Cloud Service Dashboard,False
intrusion-set--01e28736-2ffc-455b-9880-ed4d1407ae07,G0119,Indrik Spider,T1583,Acquire Infrastructure,False
intrusion-set--247cb30b-955f-42eb-97a5-a89fef69341e,G0050,APT32,T1583.001,Domains,True
intrusion-set--fd19bd82-1b14-49a1-a176-6cdc46b8a826,G0061,FIN8,T1068,Exploitation for Privilege Escalation,False
intrusion-set--00f67a77-86a4-4adf-be26-1a54fc713340,G0082,APT38,T1059.005,Visual Basic,True
intrusion-set--06a11b7e-2a36-47fe-8d3e-82c265df3258,G0093,GALLIUM,T1583.004,Server,True
intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d,G0049,OilRig,T1113,Screen Capture,False
intrusion-set--319fd652-edde-46b2-9987-3519493989f5,G1046,Storm-1811,T1059.003,Windows Command Shell,True
intrusion-set--f9d6633a-55e6-4adc-9263-6ae080421a13,G0059,Magic Hound,T1087.003,Email Account,True
intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,G0073,APT19,T1112,Modify Registry,False
intrusion-set--d69e568e-9ac8-4c08-b32c-d93b43ba9172,G0076,Thrip,T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,True
intrusion-set--247cb30b-955f-42eb-97a5-a89fef69341e,G0050,APT32,T1012,Query Registry,False
intrusion-set--1c63d4ec-0a75-4daa-b1df-0d11af3d3cc1,G0035,Dragonfly,T1608.004,Drive-by Target,True
intrusion-set--2a7914cf-dff3-428d-ab0f-1014d1c28aeb,G0037,FIN6,T1005,Data from Local System,False
intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d,G0049,OilRig,T1025,Data from Removable Media,False
intrusion-set--cb41e991-65f4-4668-a65f-f4200545b5a1,G1032,INC Ransom,T1537,Transfer Data to Cloud Account,False
intrusion-set--2688b13e-8e71-405a-9c40-0dee94bddf87,G0125,HAFNIUM,T1057,Process Discovery,False
intrusion-set--2688b13e-8e71-405a-9c40-0dee94bddf87,G0125,HAFNIUM,T1003.001,LSASS Memory,True
intrusion-set--247cb30b-955f-42eb-97a5-a89fef69341e,G0050,APT32,T1027.010,Command Obfuscation,True
intrusion-set--8c1f0187-0826-4320-bddc-5f326cfcfe2c,G0114,Chimera,T1070.001,Clear Windows Event Logs,True
intrusion-set--b7f627e2-0817-4cd5-8d50-e75f8aa85cc6,G1014,LuminousMoth,T1071.001,Web Protocols,True
intrusion-set--8b1e16f6-e7c8-4b7a-a5df-f81232c13e2f,G1021,Cinnamon Tempest,T1567.002,Exfiltration to Cloud Storage,True
intrusion-set--44102191-3a31-45f8-acbe-34bdb441d5ad,G0106,Rocke,T1496.001,Compute Hijacking,True
intrusion-set--8c1f0187-0826-4320-bddc-5f326cfcfe2c,G0114,Chimera,T1071.004,DNS,True
intrusion-set--247cb30b-955f-42eb-97a5-a89fef69341e,G0050,APT32,T1059.003,Windows Command Shell,True
intrusion-set--247cb30b-955f-42eb-97a5-a89fef69341e,G0050,APT32,T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,True
intrusion-set--2e290bfe-93b5-48ce-97d6-edcd6d32b7cf,G0047,Gamaredon Group,T1039,Data from Network Shared Drive,False
intrusion-set--6566aac9-dad8-4332-ae73-20c23bad7f02,G0137,Ferocious Kitten,T1204.002,Malicious File,True
intrusion-set--38863958-a201-4ce1-9dbe-539b0b6804e0,G0095,Machete,T1059.005,Visual Basic,True
intrusion-set--4a2ce82e-1a74-468a-a6fb-bbead541383c,G0067,APT37,T1204.002,Malicious File,True
intrusion-set--44102191-3a31-45f8-acbe-34bdb441d5ad,G0106,Rocke,T1027.004,Compile After Delivery,True
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,G0094,Kimsuky,T1585,Establish Accounts,False
intrusion-set--64b52e7d-b2c4-4a02-9372-08a463f5dc11,G0143,Aquatic Panda,T1021.001,Remote Desktop Protocol,True
intrusion-set--1f0f9a14-11aa-49aa-9174-bcd0eaa979de,G0120,Evilnum,T1566.002,Spearphishing Link,True
intrusion-set--1c63d4ec-0a75-4daa-b1df-0d11af3d3cc1,G0035,Dragonfly,T1562.004,Disable or Modify System Firewall,True
intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,G0073,APT19,T1189,Drive-by Compromise,False
intrusion-set--269e8108-68c6-4f99-b911-14b2e765dec2,G0069,MuddyWater,T1583.006,Web Services,True
intrusion-set--64b52e7d-b2c4-4a02-9372-08a463f5dc11,G0143,Aquatic Panda,T1005,Data from Local System,False
intrusion-set--44d37b89-a739-4810-9111-0d2617a8939b,G1015,Scattered Spider,T1486,Data Encrypted for Impact,False
intrusion-set--82323c70-4186-4b61-94f5-b227c3b28e89,G1039,RedCurl,T1083,File and Directory Discovery,False
intrusion-set--44102191-3a31-45f8-acbe-34bdb441d5ad,G0106,Rocke,T1574.006,Dynamic Linker Hijacking,True
intrusion-set--8c1f0187-0826-4320-bddc-5f326cfcfe2c,G0114,Chimera,T1482,Domain Trust Discovery,False
intrusion-set--e1fc262c-dad2-4b82-abda-5f08dd134971,G1047,Velvet Ant,T1571,Non-Standard Port,False
intrusion-set--f9d6633a-55e6-4adc-9263-6ae080421a13,G0059,Magic Hound,T1105,Ingress Tool Transfer,False
intrusion-set--fd66436e-4d33-450e-ac4c-f7810f1c85f4,G1016,FIN13,T1003.003,NTDS,True
intrusion-set--0bbdf25b-30ff-4894-a1cd-49260d0dd2d9,G0022,APT3,T1016,System Network Configuration Discovery,False
intrusion-set--18854f55-ac7c-4634-bd9a-352dd07613b7,G0096,APT41,T1542.003,Bootkit,True
intrusion-set--44102191-3a31-45f8-acbe-34bdb441d5ad,G0106,Rocke,T1564.001,Hidden Files and Directories,True
intrusion-set--c5b81590-6814-4d2a-8baa-15c4b6c7f960,G0131,Tonto Team,T1069.001,Local Groups,True
intrusion-set--3753cc21-2dae-4dfb-8481-d004e74502cc,G0046,FIN7,T1059.001,PowerShell,True
intrusion-set--c1aab4c9-4c34-4f4f-8541-d529e46a07f9,G1023,APT5,T1562.006,Indicator Blocking,True
intrusion-set--e1fc262c-dad2-4b82-abda-5f08dd134971,G1047,Velvet Ant,T1133,External Remote Services,False
intrusion-set--9e729a7e-0dd6-4097-95bf-db8d64911383,G0012,Darkhotel,T1057,Process Discovery,False
intrusion-set--f29b7c5e-2439-42ad-a86f-9f8984fafae3,G1001,HEXANE,T1016.001,Internet Connection Discovery,True
intrusion-set--b8137919-38cb-4db0-90f3-437be885faba,G1030,Agrius,T1583,Acquire Infrastructure,False
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,G0094,Kimsuky,T1589.003,Employee Names,True
intrusion-set--174279b4-399f-4ddb-966e-5efedd1dd5f2,G1017,Volt Typhoon,T1570,Lateral Tool Transfer,False
intrusion-set--3ea7add5-5b8f-45d8-b1f1-905d2729d62a,G1012,CURIUM,T1584.006,Web Services,True
intrusion-set--e1fc262c-dad2-4b82-abda-5f08dd134971,G1047,Velvet Ant,T1570,Lateral Tool Transfer,False
intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,G0007,APT28,T1113,Screen Capture,False
intrusion-set--ecbf507f-6786-4121-a4cc-0fd6a8d3a29d,G1040,Play,T1560.001,Archive via Utility,True
intrusion-set--1c3dcf91-b859-4aae-a09c-ae26dc8b6390,G1045,Salt Typhoon,T1587.001,Malware,True
intrusion-set--4a2ce82e-1a74-468a-a6fb-bbead541383c,G0067,APT37,T1036.001,Invalid Code Signature,True
intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d,G0049,OilRig,T1007,System Service Discovery,False
intrusion-set--6688d679-ccdb-4f12-abf6-c7545dd767a4,G0089,The White Company,T1203,Exploitation for Client Execution,False
intrusion-set--cb41e991-65f4-4668-a65f-f4200545b5a1,G1032,INC Ransom,T1087.002,Domain Account,True
intrusion-set--cc613a49-9bfa-4e22-98d1-15ffbb03f034,G1006,Earth Lusca,T1210,Exploitation of Remote Services,False
intrusion-set--2e290bfe-93b5-48ce-97d6-edcd6d32b7cf,G0047,Gamaredon Group,T1608.001,Upload Malware,True
intrusion-set--df71bb3b-813c-45eb-a8bc-f2a419837411,G0021,Molerats,T1140,Deobfuscate/Decode Files or Information,False
intrusion-set--1f0f9a14-11aa-49aa-9174-bcd0eaa979de,G0120,Evilnum,T1548.002,Bypass User Account Control,True
intrusion-set--abc5a1d4-f0dc-49d1-88a1-4a80e478bb03,G0140,LazyScripter,T1204.002,Malicious File,True
intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,G0073,APT19,T1543.003,Windows Service,True
intrusion-set--54dfec3e-6464-4f74-9d69-b7c817b7e5a3,G0126,Higaisa,T1090.001,Internal Proxy,True
intrusion-set--44102191-3a31-45f8-acbe-34bdb441d5ad,G0106,Rocke,T1053.003,Cron,True
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,G0094,Kimsuky,T1218.011,Rundll32,True
intrusion-set--efed95ba-d7e8-47ff-8c53-99c42426ee7c,G0056,PROMETHIUM,T1204.002,Malicious File,True
intrusion-set--64b52e7d-b2c4-4a02-9372-08a463f5dc11,G0143,Aquatic Panda,T1070.001,Clear Windows Event Logs,True
intrusion-set--7eda3dd8-b09b-4705-8090-c2ad9fb8c14d,G0092,TA505,T1204.002,Malicious File,True
intrusion-set--6713ab67-e25b-49cc-808d-2b36d4fbc35c,G0004,Ke3chang,T1041,Exfiltration Over C2 Channel,False
intrusion-set--18854f55-ac7c-4634-bd9a-352dd07613b7,G0096,APT41,T1087.001,Local Account,True
intrusion-set--8c1f0187-0826-4320-bddc-5f326cfcfe2c,G0114,Chimera,T1560.001,Archive via Utility,True
intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,G0016,APT29,T1053.005,Scheduled Task,True
intrusion-set--269e8108-68c6-4f99-b911-14b2e765dec2,G0069,MuddyWater,T1059.005,Visual Basic,True
intrusion-set--ecbf507f-6786-4121-a4cc-0fd6a8d3a29d,G1040,Play,T1018,Remote System Discovery,False
intrusion-set--7a19ecb1-3c65-4de3-a230-993516aed6a6,G0010,Turla,T1021.002,SMB/Windows Admin Shares,True
intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,G0073,APT19,T1071.001,Web Protocols,True
intrusion-set--4a2ce82e-1a74-468a-a6fb-bbead541383c,G0067,APT37,T1548.002,Bypass User Account Control,True
intrusion-set--18854f55-ac7c-4634-bd9a-352dd07613b7,G0096,APT41,T1071.001,Web Protocols,True
intrusion-set--269e8108-68c6-4f99-b911-14b2e765dec2,G0069,MuddyWater,T1016,System Network Configuration Discovery,False
intrusion-set--efed95ba-d7e8-47ff-8c53-99c42426ee7c,G0056,PROMETHIUM,T1587.002,Code Signing Certificates,True
intrusion-set--02b16bd6-ae88-417a-8a3f-02c5e166175a,G1043,BlackByte,T1560,Archive Collected Data,False
intrusion-set--da49b9f1-ca99-443f-9728-0a074db66850,G0063,BlackOasis,T1027,Obfuscated Files or Information,False
intrusion-set--129f2f77-1ab2-4c35-bd5e-21260cee92af,G1011,EXOTIC LILY,T1566.001,Spearphishing Attachment,True
intrusion-set--82323c70-4186-4b61-94f5-b227c3b28e89,G1039,RedCurl,T1059.003,Windows Command Shell,True
intrusion-set--4a2ce82e-1a74-468a-a6fb-bbead541383c,G0067,APT37,T1033,System Owner/User Discovery,False
intrusion-set--9e729a7e-0dd6-4097-95bf-db8d64911383,G0012,Darkhotel,T1140,Deobfuscate/Decode Files or Information,False
intrusion-set--ead23196-d7b6-4ce6-a124-4ab4b67d81bd,G0100,Inception,T1082,System Information Discovery,False
intrusion-set--2a7914cf-dff3-428d-ab0f-1014d1c28aeb,G0037,FIN6,T1547.001,Registry Run Keys / Startup Folder,True
intrusion-set--02b16bd6-ae88-417a-8a3f-02c5e166175a,G1043,BlackByte,T1059.003,Windows Command Shell,True
intrusion-set--ecbf507f-6786-4121-a4cc-0fd6a8d3a29d,G1040,Play,T1057,Process Discovery,False
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,G0094,Kimsuky,T1564.002,Hidden Users,True
intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,G0007,APT28,T1110.001,Password Guessing,True
intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,G0007,APT28,T1070.001,Clear Windows Event Logs,True
intrusion-set--fa19de15-6169-428d-9cd6-3ca3d56075b7,G0130,Ajax Security Team,T1566.001,Spearphishing Attachment,True
intrusion-set--7f848c02-4d1e-4808-a4ae-4670681370a9,G1002,BITTER,T1027.013,Encrypted/Encoded File,True
intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80,G0087,APT39,T1027.002,Software Packing,True
intrusion-set--467271fd-47c0-4e90-a3f9-d84f5cf790d0,G1018,TA2541,T1218.005,Mshta,True
intrusion-set--82323c70-4186-4b61-94f5-b227c3b28e89,G1039,RedCurl,T1059.001,PowerShell,True
intrusion-set--dc6fe6ee-04c2-49be-ba3d-f38d2463c02a,G0080,Cobalt Group,T1559.002,Dynamic Data Exchange,True
intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,G0032,Lazarus Group,T1573.001,Symmetric Cryptography,True
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,G0094,Kimsuky,T1176.001,Browser Extensions,True
intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d,G0049,OilRig,T1556.002,Password Filter DLL,True
intrusion-set--73a80fab-2aa3-48e0-a4d0-3a4828200aee,G0108,Blue Mockingbird,T1090,Proxy,False
intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,G0006,APT1,T1119,Automated Collection,False
intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80,G0087,APT39,T1041,Exfiltration Over C2 Channel,False
intrusion-set--93f52415-0fe4-4d3d-896c-fc9b8e88ab90,G0060,BRONZE BUTLER,T1548.002,Bypass User Account Control,True
intrusion-set--420ac20b-f2b9-42b8-aa1a-6d4b72895ca4,G0129,Mustang Panda,T1071.001,Web Protocols,True
intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,G0016,APT29,T1016.001,Internet Connection Discovery,True
intrusion-set--a7f57cc1-4540-4429-823f-f4e56b8473c9,G1003,Ember Bear,T1125,Video Capture,False
intrusion-set--18854f55-ac7c-4634-bd9a-352dd07613b7,G0096,APT41,T1070.001,Clear Windows Event Logs,True
intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f,G0045,menuPass,T1016,System Network Configuration Discovery,False
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,G0094,Kimsuky,T1070.004,File Deletion,True
intrusion-set--e44e0985-bc65-4a8f-b578-211c858128e3,G0134,Transparent Tribe,T1036.005,Match Legitimate Resource Name or Location,True
intrusion-set--e1fc262c-dad2-4b82-abda-5f08dd134971,G1047,Velvet Ant,T1040,Network Sniffing,False
intrusion-set--894aab42-3371-47b1-8859-a4a074c804c8,G0038,Stealth Falcon,T1555,Credentials from Password Stores,False
intrusion-set--e1fc262c-dad2-4b82-abda-5f08dd134971,G1047,Velvet Ant,T1083,File and Directory Discovery,False
intrusion-set--1c63d4ec-0a75-4daa-b1df-0d11af3d3cc1,G0035,Dragonfly,T1012,Query Registry,False
intrusion-set--a653431d-6a5e-4600-8ad3-609b5af57064,G0009,Deep Panda,T1027.005,Indicator Removal from Tools,True
intrusion-set--0bbdf25b-30ff-4894-a1cd-49260d0dd2d9,G0022,APT3,T1049,System Network Connections Discovery,False
intrusion-set--16ade1aa-0ea1-4bb7-88cc-9079df2ae756,G0018,admin@338,T1036.005,Match Legitimate Resource Name or Location,True
intrusion-set--e5603ea8-4c36-40e7-b7af-a077d24fedc1,G0136,IndigoZebra,T1583.001,Domains,True
intrusion-set--c21dd6f1-1364-4a70-a1f7-783080ec34ee,G0117,Fox Kitten,T1552.001,Credentials In Files,True
intrusion-set--894aab42-3371-47b1-8859-a4a074c804c8,G0038,Stealth Falcon,T1057,Process Discovery,False
intrusion-set--fbe9387f-34e6-4828-ac28-3080020c597b,G0051,FIN10,T1059.003,Windows Command Shell,True
intrusion-set--7251b44b-6072-476c-b8d9-a6e32c355b28,G1019,MoustachedBouncer,T1113,Screen Capture,False
intrusion-set--c1aab4c9-4c34-4f4f-8541-d529e46a07f9,G1023,APT5,T1074.001,Local Data Staging,True
intrusion-set--56a05d27-4d47-418a-b330-781c5614f202,G1041,Sea Turtle,T1584.002,DNS Server,True
intrusion-set--abc5a1d4-f0dc-49d1-88a1-4a80e478bb03,G0140,LazyScripter,T1102,Web Service,False
intrusion-set--03be849d-b5a2-4766-9dda-48976bae5710,G1008,SideCopy,T1016,System Network Configuration Discovery,False
intrusion-set--dd2d9ca6-505b-4860-a604-233685b802c7,G0102,Wizard Spider,T1222.001,Windows File and Directory Permissions Modification,True
intrusion-set--01e28736-2ffc-455b-9880-ed4d1407ae07,G0119,Indrik Spider,T1070.001,Clear Windows Event Logs,True
intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80,G0087,APT39,T1204.002,Malicious File,True
intrusion-set--381fcf73-60f6-4ab2-9991-6af3cbc35192,G0034,Sandworm Team,T1589.003,Employee Names,True
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,G0139,TeamTNT,T1048,Exfiltration Over Alternative Protocol,False
intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,G0016,APT29,T1587.001,Malware,True
intrusion-set--9b36c218-4d80-4ec6-a68d-cc2886bbe410,G1033,Star Blizzard,T1204.002,Malicious File,True
intrusion-set--88b7dbc2-32d3-4e31-af2f-3fc24e1582d7,G0030,Lotus Blossom,T1074.001,Local Data Staging,True
intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,G0006,APT1,T1114.002,Remote Email Collection,True
intrusion-set--01e28736-2ffc-455b-9880-ed4d1407ae07,G0119,Indrik Spider,T1562.001,Disable or Modify Tools,True
intrusion-set--f9c06633-dcff-48a1-8588-759e7cec5694,G0068,PLATINUM,T1056.004,Credential API Hooking,True
intrusion-set--39d6890e-7f23-4474-b8ef-e7b0343c5fc8,G0138,Andariel,T1590.005,IP Addresses,True
intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,G0032,Lazarus Group,T1082,System Information Discovery,False
intrusion-set--247cb30b-955f-42eb-97a5-a89fef69341e,G0050,APT32,T1574.001,DLL,True
intrusion-set--129f2f77-1ab2-4c35-bd5e-21260cee92af,G1011,EXOTIC LILY,T1203,Exploitation for Client Execution,False
intrusion-set--7113eaa5-ba79-4fb3-b68a-398ee9cd698e,G0065,Leviathan,T1583.001,Domains,True
intrusion-set--dd2d9ca6-505b-4860-a604-233685b802c7,G0102,Wizard Spider,T1570,Lateral Tool Transfer,False
intrusion-set--7a19ecb1-3c65-4de3-a230-993516aed6a6,G0010,Turla,T1547.001,Registry Run Keys / Startup Folder,True
intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,G0073,APT19,T1059,Command and Scripting Interpreter,False
intrusion-set--fd66436e-4d33-450e-ac4c-f7810f1c85f4,G1016,FIN13,T1190,Exploit Public-Facing Application,False
intrusion-set--9e729a7e-0dd6-4097-95bf-db8d64911383,G0012,Darkhotel,T1189,Drive-by Compromise,False
intrusion-set--18854f55-ac7c-4634-bd9a-352dd07613b7,G0096,APT41,T1135,Network Share Discovery,False
intrusion-set--0bbdf25b-30ff-4894-a1cd-49260d0dd2d9,G0022,APT3,T1090.002,External Proxy,True
intrusion-set--44d37b89-a739-4810-9111-0d2617a8939b,G1015,Scattered Spider,T1133,External Remote Services,False
intrusion-set--f29b7c5e-2439-42ad-a86f-9f8984fafae3,G1001,HEXANE,T1546.003,Windows Management Instrumentation Event Subscription,True
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,G0139,TeamTNT,T1057,Process Discovery,False
intrusion-set--a653431d-6a5e-4600-8ad3-609b5af57064,G0009,Deep Panda,T1218.010,Regsvr32,True
intrusion-set--88b7dbc2-32d3-4e31-af2f-3fc24e1582d7,G0030,Lotus Blossom,T1134,Access Token Manipulation,False
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,G0094,Kimsuky,T1219.002,Remote Desktop Software,True
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,G0139,TeamTNT,T1059.001,PowerShell,True
intrusion-set--39d6890e-7f23-4474-b8ef-e7b0343c5fc8,G0138,Andariel,T1189,Drive-by Compromise,False
intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d,G0049,OilRig,T1059.001,PowerShell,True
intrusion-set--cc613a49-9bfa-4e22-98d1-15ffbb03f034,G1006,Earth Lusca,T1036.005,Match Legitimate Resource Name or Location,True
intrusion-set--88b7dbc2-32d3-4e31-af2f-3fc24e1582d7,G0030,Lotus Blossom,T1087.001,Local Account,True
intrusion-set--54dfec3e-6464-4f74-9d69-b7c817b7e5a3,G0126,Higaisa,T1204.002,Malicious File,True
intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,G0032,Lazarus Group,T1033,System Owner/User Discovery,False
intrusion-set--7a19ecb1-3c65-4de3-a230-993516aed6a6,G0010,Turla,T1005,Data from Local System,False
intrusion-set--fd19bd82-1b14-49a1-a176-6cdc46b8a826,G0061,FIN8,T1546.003,Windows Management Instrumentation Event Subscription,True
intrusion-set--381fcf73-60f6-4ab2-9991-6af3cbc35192,G0034,Sandworm Team,T1078,Valid Accounts,False
intrusion-set--9735c036-8ebe-47e9-9c77-b0ae656dab93,G0135,BackdoorDiplomacy,T1036.005,Match Legitimate Resource Name or Location,True
intrusion-set--56a05d27-4d47-418a-b330-781c5614f202,G1041,Sea Turtle,T1583.003,Virtual Private Server,True
intrusion-set--f40eb8ce-2a74-4e56-89a1-227021410142,G0075,Rancor,T1204.002,Malicious File,True
intrusion-set--56a05d27-4d47-418a-b330-781c5614f202,G1041,Sea Turtle,T1588.004,Digital Certificates,True
intrusion-set--3753cc21-2dae-4dfb-8481-d004e74502cc,G0046,FIN7,T1546.011,Application Shimming,True
intrusion-set--8b1e16f6-e7c8-4b7a-a5df-f81232c13e2f,G1021,Cinnamon Tempest,T1588.002,Tool,True
intrusion-set--1c3dcf91-b859-4aae-a09c-ae26dc8b6390,G1045,Salt Typhoon,T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,True
intrusion-set--1f21da59-6a13-455b-afd0-d58d0a5a7d27,G0078,Gorgon Group,T1059.003,Windows Command Shell,True
intrusion-set--1c63d4ec-0a75-4daa-b1df-0d11af3d3cc1,G0035,Dragonfly,T1566.001,Spearphishing Attachment,True
intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f,G0045,menuPass,T1568.001,Fast Flux DNS,True
intrusion-set--a7f57cc1-4540-4429-823f-f4e56b8473c9,G1003,Ember Bear,T1572,Protocol Tunneling,False
intrusion-set--18854f55-ac7c-4634-bd9a-352dd07613b7,G0096,APT41,T1599,Network Boundary Bridging,False
intrusion-set--d0b3393b-3bec-4ba3-bda9-199d30db47b6,G0085,FIN4,T1090.003,Multi-hop Proxy,True
intrusion-set--174279b4-399f-4ddb-966e-5efedd1dd5f2,G1017,Volt Typhoon,T1593,Search Open Websites/Domains,False
intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,G0032,Lazarus Group,T1620,Reflective Code Loading,False
intrusion-set--894aab42-3371-47b1-8859-a4a074c804c8,G0038,Stealth Falcon,T1016,System Network Configuration Discovery,False
intrusion-set--ecbf507f-6786-4121-a4cc-0fd6a8d3a29d,G1040,Play,T1027.010,Command Obfuscation,True
intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,G0007,APT28,T1583.006,Web Services,True
intrusion-set--c77c5576-ca19-42ed-a36f-4b4486a84133,G0115,GOLD SOUTHFIELD,T1113,Screen Capture,False
intrusion-set--cb41e991-65f4-4668-a65f-f4200545b5a1,G1032,INC Ransom,T1074,Data Staged,False
intrusion-set--174279b4-399f-4ddb-966e-5efedd1dd5f2,G1017,Volt Typhoon,T1082,System Information Discovery,False
intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f,G0045,menuPass,T1036.003,Rename Legitimate Utilities,True
intrusion-set--73a80fab-2aa3-48e0-a4d0-3a4828200aee,G0108,Blue Mockingbird,T1047,Windows Management Instrumentation,False
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,G0139,TeamTNT,T1552.005,Cloud Instance Metadata API,True
intrusion-set--7a19ecb1-3c65-4de3-a230-993516aed6a6,G0010,Turla,T1012,Query Registry,False
intrusion-set--3753cc21-2dae-4dfb-8481-d004e74502cc,G0046,FIN7,T1559.002,Dynamic Data Exchange,True
intrusion-set--6fe8a2a1-a1b0-4af8-953d-4babd329f8f8,G0098,BlackTech,T1190,Exploit Public-Facing Application,False
