file,group_name,group_id,score,matched_exact,matched_root_only,rank
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,FIN13,G1016,70,"T1003.001 (credential-access); T1003.002 (credential-access); T1003.003 (credential-access); T1005 (collection); T1016 (discovery); T1016.001 (discovery); T1021.002 (lateral-movement); T1036 (defense-evasion); T1036.004 (defense-evasion); T1036.005 (defense-evasion); T1046 (discovery); T1047 (execution); T1049 (discovery); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1069 (discovery); T1071.001 (command-and-control); T1082 (discovery); T1083 (discovery); T1087 (discovery); T1087.002 (discovery); T1105 (command-and-control); T1135 (discovery); T1190 (initial-access); T1505.003 (persistence); T1550.002 (defense-evasion, lateral-movement); T1552.001 (credential-access); T1560.001 (collection); T1572 (command-and-control); T1574.001 (defense-evasion, persistence, privilege-escalation)","T1021.001 (lateral-movement); T1021.004 (lateral-movement); T1021.006 (lateral-movement); T1059.005 (execution); T1078.001 (defense-evasion, initial-access, persistence, privilege-escalation); T1098.007 (); T1136.001 (persistence); T1564.001 (defense-evasion)",
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,MuddyWater,G0069,68,"T1003.001 (credential-access); T1003.004 (credential-access); T1003.005 (credential-access); T1016 (discovery); T1033 (discovery); T1036.005 (defense-evasion); T1041 (exfiltration); T1047 (execution); T1049 (discovery); T1053.005 (execution, persistence, privilege-escalation); T1057 (discovery); T1059.001 (execution); T1059.003 (execution); T1071.001 (command-and-control); T1082 (discovery); T1083 (discovery); T1087.002 (discovery); T1102.002 (command-and-control); T1105 (command-and-control); T1190 (initial-access); T1204.002 (execution); T1518 (discovery); T1518.001 (discovery); T1552.001 (credential-access); T1555 (credential-access); T1555.003 (credential-access); T1560.001 (collection); T1562.001 (defense-evasion); T1566.001 (initial-access); T1574.001 (defense-evasion, persistence, privilege-escalation)",T1027.003 (defense-evasion); T1027.004 (defense-evasion); T1027.010 (); T1059.005 (execution); T1059.006 (execution); T1059.007 (execution); T1204.001 (execution); T1566.002 (initial-access),
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,APT39,G0087,68,"T1003 (credential-access); T1003.001 (credential-access); T1005 (collection); T1012 (discovery); T1018 (discovery); T1021.002 (lateral-movement); T1033 (discovery); T1036.005 (defense-evasion); T1041 (exfiltration); T1046 (discovery); T1053.005 (execution, persistence, privilege-escalation); T1059 (execution); T1059.001 (execution); T1070.004 (defense-evasion); T1071.001 (command-and-control); T1078 (defense-evasion, initial-access, persistence, privilege-escalation); T1083 (discovery); T1102.002 (command-and-control); T1105 (command-and-control); T1135 (discovery); T1190 (initial-access); T1197 (defense-evasion, persistence); T1204.002 (execution); T1505.003 (persistence); T1555 (credential-access); T1560.001 (collection); T1566.001 (initial-access); T1569.002 (execution)","T1021.001 (lateral-movement); T1021.004 (lateral-movement); T1027.002 (defense-evasion); T1027.013 (); T1059.005 (execution); T1059.006 (execution); T1059.010 (); T1071.004 (command-and-control); T1136.001 (persistence); T1204.001 (execution); T1546.010 (persistence, privilege-escalation); T1566.002 (initial-access)",
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,Ke3chang,G0004,67,"T1003.001 (credential-access); T1003.002 (credential-access); T1003.003 (credential-access); T1003.004 (credential-access); T1005 (collection); T1007 (discovery); T1016 (discovery); T1018 (discovery); T1020 (exfiltration); T1021.002 (lateral-movement); T1027 (defense-evasion); T1033 (discovery); T1036.005 (defense-evasion); T1041 (exfiltration); T1049 (discovery); T1057 (discovery); T1059 (execution); T1059.003 (execution); T1069.002 (discovery); T1071.001 (command-and-control); T1078 (defense-evasion, initial-access, persistence, privilege-escalation); T1082 (discovery); T1083 (discovery); T1087.001 (discovery); T1087.002 (discovery); T1105 (command-and-control); T1119 (collection); T1190 (initial-access); T1543.003 (persistence, privilege-escalation); T1560 (collection); T1560.001 (collection); T1569.002 (execution)","T1036.002 (defense-evasion); T1071.004 (command-and-control); T1078.004 (defense-evasion, initial-access, persistence, privilege-escalation)",
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,APT28,G0007,66,"T1003 (credential-access); T1003.001 (credential-access); T1003.003 (credential-access); T1005 (collection); T1021.002 (lateral-movement); T1036 (defense-evasion); T1036.005 (defense-evasion); T1057 (discovery); T1059.001 (execution); T1059.003 (execution); T1070.001 (defense-evasion); T1070.004 (defense-evasion); T1071.001 (command-and-control); T1078 (defense-evasion, initial-access, persistence, privilege-escalation); T1083 (discovery); T1091 (initial-access, lateral-movement); T1102.002 (command-and-control); T1105 (command-and-control); T1119 (collection); T1190 (initial-access); T1204.002 (execution); T1505.003 (persistence); T1546.015 (persistence, privilege-escalation); T1550.002 (defense-evasion, lateral-movement); T1560 (collection); T1560.001 (collection); T1564.003 (defense-evasion); T1566.001 (initial-access); T1567 (exfiltration)","T1027.013 (); T1070.006 (defense-evasion); T1071.003 (command-and-control); T1078.004 (defense-evasion, initial-access, persistence, privilege-escalation); T1098.002 (persistence); T1204.001 (execution); T1550.001 (defense-evasion, lateral-movement); T1564.001 (defense-evasion)",
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,Threat Group-3390,G0027,66,"T1003.001 (credential-access); T1003.002 (credential-access); T1003.004 (credential-access); T1005 (collection); T1012 (discovery); T1016 (discovery); T1018 (discovery); T1033 (discovery); T1046 (discovery); T1047 (execution); T1049 (discovery); T1055.012 (defense-evasion, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1070.004 (defense-evasion); T1070.005 (defense-evasion); T1071.001 (command-and-control); T1078 (defense-evasion, initial-access, persistence, privilege-escalation); T1087.001 (discovery); T1105 (command-and-control); T1112 (defense-evasion); T1119 (collection); T1190 (initial-access); T1204.002 (execution); T1505.003 (persistence); T1543.003 (persistence, privilege-escalation); T1566.001 (initial-access); T1567.002 (exfiltration); T1574.001 (defense-evasion, persistence, privilege-escalation)","T1021.006 (lateral-movement); T1027.002 (defense-evasion); T1027.013 (); T1027.015 (); T1053.002 (execution, persistence, privilege-escalation); T1555.005 (credential-access); T1560.002 (collection); T1562.002 (defense-evasion)",
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,APT3,G0022,62,"T1003.001 (credential-access); T1005 (collection); T1016 (discovery); T1018 (discovery); T1021.002 (lateral-movement); T1027 (defense-evasion); T1033 (discovery); T1041 (exfiltration); T1049 (discovery); T1053.005 (execution, persistence, privilege-escalation); T1057 (discovery); T1059.001 (execution); T1059.003 (execution); T1069 (discovery); T1070.004 (defense-evasion); T1078.002 (defense-evasion, initial-access, persistence, privilege-escalation); T1082 (discovery); T1083 (discovery); T1087.001 (discovery); T1105 (command-and-control); T1543.003 (persistence, privilege-escalation); T1546.008 (persistence, privilege-escalation); T1552.001 (credential-access); T1555.003 (credential-access); T1560.001 (collection); T1564.003 (defense-evasion); T1574.001 (defense-evasion, persistence, privilege-escalation)",T1021.001 (lateral-movement); T1027.002 (defense-evasion); T1027.005 (defense-evasion); T1036.010 (); T1098.007 (); T1136.001 (persistence); T1204.001 (execution); T1566.002 (initial-access),
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,menuPass,G0045,61,"T1003.002 (credential-access); T1003.003 (credential-access); T1003.004 (credential-access); T1005 (collection); T1016 (discovery); T1018 (discovery); T1036 (defense-evasion); T1036.005 (defense-evasion); T1046 (discovery); T1047 (execution); T1049 (discovery); T1053.005 (execution, persistence, privilege-escalation); T1055.012 (defense-evasion, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1070.004 (defense-evasion); T1078 (defense-evasion, initial-access, persistence, privilege-escalation); T1083 (discovery); T1087.002 (discovery); T1105 (command-and-control); T1106 (execution); T1119 (collection); T1190 (initial-access); T1204.002 (execution); T1560 (collection); T1560.001 (collection); T1566.001 (initial-access); T1574.001 (defense-evasion, persistence, privilege-escalation)",T1021.001 (lateral-movement); T1021.004 (lateral-movement); T1027.013 (); T1036.003 (defense-evasion); T1070.003 (defense-evasion),
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,Dragonfly,G0035,60,"T1003.002 (credential-access); T1003.003 (credential-access); T1003.004 (credential-access); T1005 (collection); T1012 (discovery); T1016 (discovery); T1018 (discovery); T1033 (discovery); T1053.005 (execution, persistence, privilege-escalation); T1059 (execution); T1059.001 (execution); T1059.003 (execution); T1069.002 (discovery); T1070.001 (defense-evasion); T1070.004 (defense-evasion); T1078 (defense-evasion, initial-access, persistence, privilege-escalation); T1083 (discovery); T1087.002 (discovery); T1105 (command-and-control); T1112 (defense-evasion); T1135 (discovery); T1190 (initial-access); T1204.002 (execution); T1505.003 (persistence); T1560 (collection); T1566.001 (initial-access)",T1021.001 (lateral-movement); T1036.010 (); T1059.006 (execution); T1071.002 (command-and-control); T1098.007 (); T1136.001 (persistence); T1562.004 (defense-evasion); T1564.002 (defense-evasion),
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,Fox Kitten,G0117,57,"T1003.001 (credential-access); T1003.003 (credential-access); T1005 (collection); T1012 (discovery); T1018 (discovery); T1021.002 (lateral-movement); T1036.004 (defense-evasion); T1036.005 (defense-evasion); T1046 (discovery); T1053.005 (execution, persistence, privilege-escalation); T1059 (execution); T1059.001 (execution); T1059.003 (execution); T1078 (defense-evasion, initial-access, persistence, privilege-escalation); T1083 (discovery); T1087.001 (discovery); T1087.002 (discovery); T1102 (command-and-control); T1105 (command-and-control); T1190 (initial-access); T1505.003 (persistence); T1546.008 (persistence, privilege-escalation); T1552.001 (credential-access); T1560.001 (collection); T1572 (command-and-control)",T1021.001 (lateral-movement); T1021.004 (lateral-movement); T1021.005 (lateral-movement); T1027.010 (); T1027.013 (); T1136.001 (persistence); T1555.005 (credential-access),
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,Mustang Panda,G0129,55,"T1003.003 (credential-access); T1016 (discovery); T1027 (defense-evasion); T1036.005 (defense-evasion); T1047 (execution); T1049 (discovery); T1053.005 (execution, persistence, privilege-escalation); T1057 (discovery); T1059.001 (execution); T1059.003 (execution); T1070.004 (defense-evasion); T1071.001 (command-and-control); T1082 (discovery); T1083 (discovery); T1091 (initial-access, lateral-movement); T1102 (command-and-control); T1105 (command-and-control); T1119 (collection); T1204.002 (execution); T1518 (discovery); T1546.003 (persistence, privilege-escalation); T1560.001 (collection); T1566.001 (initial-access); T1574.001 (defense-evasion, persistence, privilege-escalation)",T1027.016 (); T1036.007 (); T1059.005 (execution); T1204.001 (execution); T1560.003 (collection); T1564.001 (defense-evasion); T1566.002 (initial-access),
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,Ember Bear,G1003,54,"T1003 (credential-access); T1003.001 (credential-access); T1003.002 (credential-access); T1003.004 (credential-access); T1005 (collection); T1018 (discovery); T1021 (lateral-movement); T1036 (defense-evasion); T1036.005 (defense-evasion); T1046 (discovery); T1047 (execution); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1070.004 (defense-evasion); T1112 (defense-evasion); T1119 (collection); T1190 (initial-access); T1505.003 (persistence); T1550.002 (defense-evasion, lateral-movement); T1552.001 (credential-access); T1560 (collection); T1562.001 (defense-evasion); T1567.002 (exfiltration); T1570 (lateral-movement); T1571 (command-and-control); T1572 (command-and-control)","T1071.004 (command-and-control); T1078.001 (defense-evasion, initial-access, persistence, privilege-escalation)",
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,Aquatic Panda,G0143,54,"T1003.001 (credential-access); T1005 (collection); T1007 (discovery); T1021 (lateral-movement); T1021.002 (lateral-movement); T1033 (discovery); T1036.004 (defense-evasion); T1036.005 (defense-evasion); T1047 (execution); T1059.001 (execution); T1059.003 (execution); T1070.001 (defense-evasion); T1070.004 (defense-evasion); T1078.002 (defense-evasion, initial-access, persistence, privilege-escalation); T1082 (discovery); T1087 (discovery); T1105 (command-and-control); T1112 (defense-evasion); T1518.001 (discovery); T1543.003 (persistence, privilege-escalation); T1550.002 (defense-evasion, lateral-movement); T1560.001 (collection); T1562.001 (defense-evasion); T1574.001 (defense-evasion, persistence, privilege-escalation)","T1021.001 (lateral-movement); T1021.004 (lateral-movement); T1027.010 (); T1059.004 (execution); T1070.003 (defense-evasion); T1574.006 (defense-evasion, persistence, privilege-escalation)",
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,RedCurl,G1039,54,"T1003.001 (credential-access); T1005 (collection); T1020 (exfiltration); T1027 (defense-evasion); T1036.005 (defense-evasion); T1046 (discovery); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1070.004 (defense-evasion); T1071.001 (command-and-control); T1080 (lateral-movement); T1082 (discovery); T1083 (discovery); T1087.001 (discovery); T1087.002 (discovery); T1087.003 (discovery); T1102 (command-and-control); T1119 (collection); T1204.002 (execution); T1552.001 (credential-access); T1555.003 (credential-access); T1560.001 (collection); T1566.001 (initial-access)",T1059.005 (execution); T1059.006 (execution); T1204.001 (execution); T1552.002 (credential-access); T1564.001 (defense-evasion); T1566.002 (initial-access),
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,FIN8,G0061,53,"T1003.001 (credential-access); T1016.001 (discovery); T1018 (discovery); T1021.002 (lateral-movement); T1033 (discovery); T1047 (execution); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1070.001 (defense-evasion); T1070.004 (defense-evasion); T1071.001 (command-and-control); T1078 (defense-evasion, initial-access, persistence, privilege-escalation); T1082 (discovery); T1102 (command-and-control); T1105 (command-and-control); T1112 (defense-evasion); T1204.002 (execution); T1482 (discovery); T1486 (impact); T1518.001 (discovery); T1546.003 (persistence, privilege-escalation); T1560.001 (collection); T1566.001 (initial-access)","T1021.001 (lateral-movement); T1027.010 (); T1055.004 (defense-evasion, privilege-escalation); T1204.001 (execution); T1566.002 (initial-access)",
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,FIN6,G0037,53,"T1003.001 (credential-access); T1003.003 (credential-access); T1005 (collection); T1018 (discovery); T1036.004 (defense-evasion); T1046 (discovery); T1047 (execution); T1053.005 (execution, persistence, privilege-escalation); T1059 (execution); T1059.001 (execution); T1059.003 (execution); T1070.004 (defense-evasion); T1078 (defense-evasion, initial-access, persistence, privilege-escalation); T1087.002 (discovery); T1102 (command-and-control); T1119 (collection); T1204.002 (execution); T1555 (credential-access); T1555.003 (credential-access); T1560 (collection); T1562.001 (defense-evasion); T1566.001 (initial-access); T1569.002 (execution); T1572 (command-and-control)",T1021.001 (lateral-movement); T1027.010 (); T1059.007 (execution); T1560.003 (collection); T1566.003 (initial-access),
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,APT29,G0016,53,"T1003.002 (credential-access); T1003.004 (credential-access); T1005 (collection); T1016.001 (discovery); T1036.005 (defense-evasion); T1047 (execution); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1070.004 (defense-evasion); T1078 (defense-evasion, initial-access, persistence, privilege-escalation); T1087.004 (discovery); T1105 (command-and-control); T1190 (initial-access); T1204.002 (execution); T1505.003 (persistence); T1546.003 (persistence, privilege-escalation); T1546.008 (persistence, privilege-escalation); T1566.001 (initial-access)","T1021.007 (); T1027.001 (defense-evasion); T1027.002 (defense-evasion); T1027.006 (); T1059.006 (execution); T1059.009 (); T1070.006 (defense-evasion); T1078.003 (defense-evasion, initial-access, persistence, privilege-escalation); T1078.004 (defense-evasion, initial-access, persistence, privilege-escalation); T1098.002 (persistence); T1098.005 (); T1136.003 (persistence); T1204.001 (execution); T1550.003 (defense-evasion, lateral-movement); T1562.008 (defense-evasion); T1566.002 (initial-access); T1566.003 (initial-access)",
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,BRONZE BUTLER,G0060,52,"T1003.001 (credential-access); T1005 (collection); T1007 (discovery); T1018 (discovery); T1036 (defense-evasion); T1036.005 (defense-evasion); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1070.004 (defense-evasion); T1071.001 (command-and-control); T1080 (lateral-movement); T1083 (discovery); T1087.002 (discovery); T1105 (command-and-control); T1124 (discovery); T1204.002 (execution); T1518 (discovery); T1560.001 (collection); T1562.001 (defense-evasion); T1566.001 (initial-access); T1574.001 (defense-evasion, persistence, privilege-escalation)","T1027.001 (defense-evasion); T1027.003 (defense-evasion); T1036.002 (defense-evasion); T1053.002 (execution, persistence, privilege-escalation); T1059.005 (execution); T1059.006 (execution); T1102.001 (command-and-control); T1550.003 (defense-evasion, lateral-movement)",
PaloAlto-NewToolSet-Organizations-in-Middle-East-Africa-and-US-1-e16339ec,APT32,G0050,52,"T1003 (credential-access); T1018 (discovery); T1036.005 (defense-evasion); T1041 (exfiltration); T1046 (discovery); T1047 (execution); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1070.004 (defense-evasion); T1070.006 (defense-evasion); T1112 (defense-evasion); T1505.003 (persistence); T1570 (lateral-movement); T1583.001 (resource-development)","T1003.001 (credential-access); T1021.002 (lateral-movement); T1027.010 (); T1027.011 (); T1027.013 (); T1027.016 (); T1036 (defense-evasion); T1036.003 (defense-evasion); T1036.004 (defense-evasion); T1059 (execution); T1059.005 (execution); T1059.007 (execution); T1070.001 (defense-evasion); T1071.001 (command-and-control); T1071.003 (command-and-control); T1078.003 (defense-evasion, initial-access, persistence, privilege-escalation); T1087.001 (discovery); T1560 (collection); T1564.001 (defense-evasion); T1564.003 (defense-evasion); T1564.004 (defense-evasion); T1583.006 (resource-development)",
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,Earth Lusca,G1006,49,"T1003.001 (credential-access); T1007 (discovery); T1016 (discovery); T1018 (discovery); T1027 (defense-evasion); T1033 (discovery); T1036.005 (defense-evasion); T1047 (execution); T1049 (discovery); T1053 (execution, persistence, privilege-escalation); T1057 (discovery); T1059.001 (execution); T1098.004 (persistence); T1112 (defense-evasion); T1190 (initial-access); T1204.002 (execution); T1482 (discovery); T1543.003 (persistence, privilege-escalation); T1560.001 (collection); T1567.002 (exfiltration); T1574.001 (defense-evasion, persistence, privilege-escalation)",T1003.006 (credential-access); T1027.003 (defense-evasion); T1059.005 (execution); T1059.006 (execution); T1059.007 (execution); T1204.001 (execution); T1566.002 (initial-access),
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,GALLIUM,G0093,47,"T1003.001 (credential-access); T1003.002 (credential-access); T1005 (collection); T1016 (discovery); T1018 (discovery); T1027 (defense-evasion); T1033 (discovery); T1041 (exfiltration); T1047 (execution); T1049 (discovery); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1078 (defense-evasion, initial-access, persistence, privilege-escalation); T1105 (command-and-control); T1136.002 (persistence); T1190 (initial-access); T1505.003 (persistence); T1550.002 (defense-evasion, lateral-movement); T1560.001 (collection); T1570 (lateral-movement); T1574.001 (defense-evasion, persistence, privilege-escalation)",T1027.002 (defense-evasion); T1027.005 (defense-evasion); T1036.003 (defense-evasion),
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,HAFNIUM,G0125,47,T1003.001 (credential-access); T1003.003 (credential-access); T1005 (collection); T1016 (discovery); T1016.001 (discovery); T1018 (discovery); T1033 (discovery); T1057 (discovery); T1059.001 (execution); T1059.003 (execution); T1070.001 (defense-evasion); T1071.001 (command-and-control); T1083 (discovery); T1098 (persistence); T1105 (command-and-control); T1119 (collection); T1136.002 (persistence); T1190 (initial-access); T1505.003 (persistence); T1560.001 (collection); T1567.002 (exfiltration),"T1078.003 (defense-evasion, initial-access, persistence, privilege-escalation); T1078.004 (defense-evasion, initial-access, persistence, privilege-escalation); T1550.001 (defense-evasion, lateral-movement); T1555.006 (); T1564.001 (defense-evasion)",
CISA-aa23-347a-russian-foreign-intelligence-service-svr-exploiti-44318107,APT32,G0050,45,"T1003 (credential-access); T1003.001 (credential-access); T1033 (discovery); T1036 (defense-evasion); T1041 (exfiltration); T1046 (discovery); T1047 (execution); T1049 (discovery); T1053.005 (execution, persistence, privilege-escalation); T1055 (defense-evasion, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1068 (privilege-escalation); T1203 (execution); T1564.001 (defense-evasion)","T1027.010 (); T1027.011 (); T1027.013 (); T1027.016 (); T1036.003 (defense-evasion); T1036.004 (defense-evasion); T1036.005 (defense-evasion); T1059 (execution); T1059.005 (execution); T1059.007 (execution); T1505.003 (persistence); T1547.001 (persistence, privilege-escalation); T1564.003 (defense-evasion); T1564.004 (defense-evasion); T1574.001 (defense-evasion, persistence, privilege-escalation)",
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,Indrik Spider,G0119,44,"T1003.001 (credential-access); T1007 (discovery); T1012 (discovery); T1018 (discovery); T1036.005 (defense-evasion); T1047 (execution); T1059.001 (execution); T1059.003 (execution); T1070.001 (defense-evasion); T1078 (defense-evasion, initial-access, persistence, privilege-escalation); T1078.002 (defense-evasion, initial-access, persistence, privilege-escalation); T1105 (command-and-control); T1112 (defense-evasion); T1204.002 (execution); T1486 (impact); T1489 (impact); T1552.001 (credential-access); T1562.001 (defense-evasion); T1567.002 (exfiltration)",T1021.001 (lateral-movement); T1021.004 (lateral-movement); T1059.007 (execution); T1136 (persistence); T1136.001 (persistence); T1555.005 (credential-access),
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,Leviathan,G0065,44,"T1003 (credential-access); T1003.001 (credential-access); T1041 (exfiltration); T1047 (execution); T1055.001 (defense-evasion, privilege-escalation); T1059.001 (execution); T1078 (defense-evasion, initial-access, persistence, privilege-escalation); T1105 (command-and-control); T1190 (initial-access); T1197 (defense-evasion, persistence); T1204.002 (execution); T1505.003 (persistence); T1546.003 (persistence, privilege-escalation); T1560 (collection); T1566.001 (initial-access); T1567.002 (exfiltration); T1572 (command-and-control)",T1021.001 (lateral-movement); T1021.004 (lateral-movement); T1027.001 (defense-evasion); T1027.003 (defense-evasion); T1027.013 (); T1027.015 (); T1059.005 (execution); T1102.003 (command-and-control); T1204.001 (execution); T1566.002 (initial-access),
Blackberry-AeroBlade-Targeting-US-Aerospace-Industry-11-30-2023-ef854d3a,Gamaredon Group,G0047,43,"T1001 (command-and-control); T1027 (defense-evasion); T1033 (discovery); T1036.005 (defense-evasion); T1041 (exfiltration); T1053.005 (execution, persistence, privilege-escalation); T1059.003 (execution); T1059.005 (execution); T1071.001 (command-and-control); T1082 (discovery); T1083 (discovery); T1105 (command-and-control); T1106 (execution); T1140 (defense-evasion); T1204.002 (execution); T1221 (defense-evasion); T1559.001 (execution); T1566.001 (initial-access)",T1016.001 (discovery); T1027.004 (defense-evasion); T1027.010 (); T1027.016 (); T1059.001 (execution); T1137 (persistence); T1204.001 (execution),
CISA-aa23-347a-russian-foreign-intelligence-service-svr-exploiti-44318107,Magic Hound,G0059,43,"T1003.001 (credential-access); T1033 (discovery); T1046 (discovery); T1047 (execution); T1049 (discovery); T1053.005 (execution, persistence, privilege-escalation); T1057 (discovery); T1059.001 (execution); T1059.003 (execution); T1190 (initial-access); T1562.001 (defense-evasion); T1567 (exfiltration); T1572 (command-and-control); T1592.002 (reconnaissance)","T1027.010 (); T1027.013 (); T1036.004 (defense-evasion); T1036.005 (defense-evasion); T1036.010 (); T1059.005 (execution); T1098.002 (persistence); T1098.007 (); T1505.003 (persistence); T1547.001 (persistence, privilege-escalation); T1562 (defense-evasion); T1562.002 (defense-evasion); T1562.004 (defense-evasion); T1564.003 (defense-evasion); T1590.005 (reconnaissance)",
PaloAlto-NewToolSet-Organizations-in-Middle-East-Africa-and-US-1-e16339ec,APT28,G0007,42,T1003 (credential-access); T1030 (exfiltration); T1036.005 (defense-evasion); T1059.001 (execution); T1059.003 (execution); T1070.004 (defense-evasion); T1070.006 (defense-evasion); T1140 (defense-evasion); T1505.003 (persistence); T1560.001 (collection); T1573.001 (command-and-control); T1583.001 (resource-development),"T1003.001 (credential-access); T1003.003 (credential-access); T1021.002 (lateral-movement); T1027.013 (); T1036 (defense-evasion); T1070.001 (defense-evasion); T1071.001 (command-and-control); T1071.003 (command-and-control); T1074.001 (collection); T1074.002 (collection); T1078 (defense-evasion, initial-access, persistence, privilege-escalation); T1078.004 (defense-evasion, initial-access, persistence, privilege-escalation); T1114.002 (collection); T1560 (collection); T1564.001 (defense-evasion); T1564.003 (defense-evasion); T1583.003 (resource-development); T1583.006 (resource-development)",
CISA-aa23-347a-russian-foreign-intelligence-service-svr-exploiti-44318107,MuddyWater,G0069,40,"T1003.001 (credential-access); T1033 (discovery); T1041 (exfiltration); T1047 (execution); T1049 (discovery); T1053.005 (execution, persistence, privilege-escalation); T1057 (discovery); T1059.001 (execution); T1059.003 (execution); T1190 (initial-access); T1203 (execution); T1210 (lateral-movement); T1555.003 (credential-access); T1562.001 (defense-evasion)","T1003.004 (credential-access); T1003.005 (credential-access); T1027.003 (defense-evasion); T1027.004 (defense-evasion); T1027.010 (); T1036.005 (defense-evasion); T1059.005 (execution); T1059.006 (execution); T1059.007 (execution); T1547.001 (persistence, privilege-escalation); T1555 (credential-access); T1574.001 (defense-evasion, persistence, privilege-escalation)",
PaloAlto-NewToolSet-Organizations-in-Middle-East-Africa-and-US-1-e16339ec,BlackByte,G1043,40,"T1003 (credential-access); T1018 (discovery); T1036.008 (); T1041 (exfiltration); T1046 (discovery); T1047 (execution); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1070.004 (defense-evasion); T1078.002 (defense-evasion, initial-access, persistence, privilege-escalation); T1087.002 (discovery); T1112 (defense-evasion); T1136.002 (persistence); T1140 (defense-evasion); T1505.003 (persistence); T1570 (lateral-movement)","T1021.001 (lateral-movement); T1021.002 (lateral-movement); T1071.001 (command-and-control); T1078 (defense-evasion, initial-access, persistence, privilege-escalation); T1560 (collection); T1583.003 (resource-development)",
CISA-aa23-347a-russian-foreign-intelligence-service-svr-exploiti-44318107,OilRig,G0049,39,"T1003.001 (credential-access); T1033 (discovery); T1036 (defense-evasion); T1046 (discovery); T1047 (execution); T1049 (discovery); T1053.005 (execution, persistence, privilege-escalation); T1057 (discovery); T1059.001 (execution); T1059.003 (execution); T1068 (privilege-escalation); T1203 (execution); T1555.003 (credential-access); T1572 (command-and-control)",T1003.004 (credential-access); T1003.005 (credential-access); T1027.005 (defense-evasion); T1027.013 (); T1036.005 (defense-evasion); T1059 (execution); T1059.005 (execution); T1505.003 (persistence); T1555 (credential-access); T1555.004 (credential-access); T1562.004 (defense-evasion),
